Cache_Type,Number,Steps,Cache_Hit
0,11796,143,0
0,12925,169,0
0,7157,101,0
0,15269,84,0
0,18363,61,0
0,9145,65,0
0,2538,40,0
0,14344,120,0
0,24074,43,0
0,9126,153,0
0,4576,108,0
0,6200,155,0
0,10122,42,0
0,4656,121,0
0,18781,110,0
0,15275,84,0
0,26028,51,0
0,19354,61,0
0,31210,147,0
0,27358,64,0
0,4038,113,0
0,14195,58,0
0,17453,141,0
0,32236,54,0
0,12121,143,0
0,17350,48,0
0,32339,147,0
0,20831,255,0
0,20885,56,0
0,8338,158,0
0,20913,56,0
0,32070,147,0
0,12831,76,0
0,20345,87,0
0,23466,100,0
0,648,25,0
0,785,121,0
0,23484,82,0
0,21971,162,0
0,25207,64,0
0,30275,46,0
0,20071,48,0
0,2389,27,0
0,21672,56,0
0,27593,139,0
0,13001,125,0
0,4499,46,0
0,3843,144,0
0,27068,152,0
0,16167,71,0
0,12813,63,0
0,21526,74,0
0,16702,234,0
0,30130,41,0
0,17284,172,1
0,15278,32,0
0,1208,18,0
0,20917,180,0
0,31840,28,0
0,27049,121,0
0,13158,138,0
0,21779,162,0
0,6222,36,0
0,9990,91,0
0,15894,53,0
0,2545,40,0
0,9005,39,0
0,4414,170,0
0,18732,61,0
0,19632,136,0
0,27435,90,0
0,21463,48,0
0,20458,136,0
0,29214,165,0
0,24107,43,0
0,8246,96,0
0,3310,43,0
0,7661,176,0
0,22123,162,0
0,22453,131,0
0,19452,92,0
0,23908,51,0
0,6755,36,0
0,7157,101,1
0,2302,58,0
0,23124,51,0
0,5104,59,0
0,14710,102,0
0,73,115,0
0,14926,71,0
0,689,126,0
0,8292,39,0
0,5154,28,0
0,32275,191,0
0,11697,143,0
0,24500,64,0
0,11137,91,0
0,30028,165,0
0,22599,61,0
0,22128,100,0
0,28181,108,0
0,6779,88,0
0,32315,72,0
0,3919,82,0
0,391,120,0
0,27442,64,0
0,6954,31,0
0,31369,85,0
0,11267,60,0
0,4227,82,0
0,300,16,0
0,31209,178,0
0,32757,160,0
0,27575,59,1
0,691,126,0
0,29476,46,0
0,29968,90,0
0,23362,69,0
0,29623,165,0
0,23657,82,0
0,4757,77,0
0,19447,105,0
0,17936,48,0
0,30521,72,0
0,3794,69,0
0,27257,152,0
0,17699,48,0
0,11641,130,0
0,2025,156,0
0,2290,151,0
0,13504,45,0
0,17606,141,0
0,14802,71,0
0,3335,180,0
0,22347,131,0
0,23560,82,0
0,21923,43,0
0,31243,147,0
0,7962,26,0
0,26442,51,0
0,24079,188,0
0,27506,33,0
0,3871,113,0
0,7625,83,0
0,11565,50,0
0,5001,64,0
0,3783,131,0
0,3658,131,0
0,1915,174,0
0,4709,33,0
0,13601,45,0
0,19889,74,1
0,24611,157,0
0,14617,45,0
0,20291,35,0
0,29648,134,0
0,12925,169,1
0,3373,43,0
0,9706,47,0
0,23165,113,0
0,5332,116,0
0,8267,127,0
0,18016,48,0
0,21223,149,0
0,26733,95,0
0,4154,64,0
0,21155,56,0
0,17706,141,0
0,19141,74,0
0,17169,79,0
0,7363,132,0
0,28192,121,0
0,11291,148,0
0,13220,50,0
0,4492,46,0
0,12154,156,0
0,12078,68,0
0,25155,38,0
0,13925,58,0
0,9744,135,0
0,13896,107,0
0,15780,102,0
0,15992,53,0
0,31350,103,0
0,16763,115,0
0,6173,111,0
0,31507,103,0
0,8144,52,0
0,555,30,0
0,32022,46,0
0,11086,205,0
0,29927,209,0
0,18381,61,0
0,31423,108,0
0,28399,165,0
0,31612,77,0
0,10733,73,0
0,13310,169,0
0,24714,38,0
0,6620,44,0
0,4982,103,0
0,20140,136,0
0,6893,57,0
0,6836,57,0
0,4910,134,0
0,4608,28,0
0,11707,143,0
0,24359,82,0
0,5504,36,0
0,18763,154,0
0,17750,97,0
0,30494,72,0
0,27518,121,0
0,16102,71,0
0,2562,53,0
0,5087,178,0
0,17190,27,0
0,25449,56,0
0,31304,147,0
0,2274,19,0
0,29924,165,0
0,29982,72,0
0,17561,141,0
0,20191,149,0
0,19033,53,0
0,15286,71,0
0,25652,64,0
0,15660,102,0
0,8795,127,0
0,11322,37,0
0,1354,52,0
0,27974,108,0
0,5693,67,0
0,2372,76,0
0,29791,116,0
0,31918,54,0
0,1104,18,1
0,21358,48,0
0,7411,163,0
0,8438,158,0
0,9129,65,0
0,7691,145,0
0,23394,144,0
0,16923,110,0
0,1317,52,0
0,7189,119,0
0,9737,166,0
0,3861,25,0
0,9643,166,0
0,31079,59,0
0,20906,30,0
0,16557,159,0
0,30129,41,0
0,21548,149,0
0,29969,165,0
0,32399,160,0
0,31234,147,0
0,27288,139,0
0,12280,63,0
0,6816,18,0
0,27070,152,0
0,20694,136,0
0,22825,82,0
0,5777,142,0
0,28066,196,0
0,17217,27,0
0,22498,87,0
0,10165,34,0
0,25737,170,0
0,26838,121,0
0,11389,174,0
0,11535,55,0
0,20787,149,0
0,6633,75,0
0,27728,33,0
0,19376,74,0
0,21830,69,0
0,32536,116,0
0,13523,89,0
0,9536,29,0
0,23954,188,0
0,7294,163,0
0,23040,25,0
0,23770,51,0
0,25497,82,0
0,7465,70,0
0,21504,17,0
0,24093,43,0
0,26703,69,0
0,29389,165,0
0,12291,50,0
0,6783,181,0
0,3102,154,0
0,7609,31,0
0,2160,45,0
0,12517,112,0
0,26669,183,0
0,12555,107,0
0,18494,185,0
0,13169,138,0
0,3298,30,0
0,26400,139,0
0,15777,102,0
0,32667,67,0
0,18854,154,1
0,23119,131,0
0,16362,66,0
0,23684,188,0
0,8680,47,0
0,13783,151,0
0,27816,33,0
0,21382,162,0
0,4964,41,0
0,29461,134,0
0,16404,40,0
0,30480,41,0
0,4517,38,0
0,30459,134,0
0,3244,136,0
0,2993,48,0
0,23240,51,0
0,9149,122,0
0,5661,36,0
0,18290,66,0
0,2436,133,0
0,13005,138,0
0,21350,56,0
0,7017,194,0
0,2151,107,0
0,27402,59,0
0,7227,132,0
0,15243,133,0
0,19042,35,0
0,1845,37,0
0,17831,53,0
0,22722,82,0
0,27784,108,0
0,24740,95,0
0,29174,72,0
0,16704,35,0
0,9491,52,0
0,12858,169,0
0,6098,124,0
0,23314,113,0
0,9128,109,0
0,1942,37,0
0,1196,119,0
0,11512,130,0
0,18140,92,0
0,11403,55,0
0,24158,43,0
0,26996,46,0
0,19190,74,0
0,12496,125,0
0,26638,170,0
0,12321,156,0
0,22006,74,0
0,21497,193,0
0,3669,38,0
0,31046,147,0
0,1239,132,0
0,28070,196,0
0,32416,116,0
0,24491,188,0
0,24082,188,0
0,9723,104,0
0,19927,74,0
0,15531,146,0
0,19811,43,0
0,4688,121,0
0,29245,121,0
0,19083,79,0
0,3279,105,0
0,2601,177,0
0,5272,54,0
0,16650,66,0
0,7910,145,0
0,18536,35,0
0,31889,59,0
0,8249,65,0
0,15942,53,0
0,11457,29,0
0,7261,57,0
0,7565,39,0
0,26208,46,0
0,12655,55,0
0,32669,160,0
0,26419,46,0
0,22911,144,0
0,26917,139,0
0,8579,78,0
0,12707,55,0
0,18438,48,0
0,6472,49,0
0,28215,134,0
0,17272,128,0
0,31992,191,0
0,17499,110,0
0,29561,196,0
0,29567,95,0
0,13246,169,0
0,14523,71,0
0,1159,57,0
0,19726,74,0
0,31525,147,0
0,30604,41,0
0,21825,69,0
0,20119,136,0
0,18855,105,0
0,2035,156,0
0,20619,211,0
0,30332,85,0
0,9963,73,0
0,2693,66,1
0,11763,50,0
0,4645,183,0
0,3727,69,0
0,8448,34,0
0,2708,53,0
0,849,59,0
0,28708,77,0
0,32313,253,0
0,2361,58,1
0,28585,77,0
0,28794,72,0
0,12886,76,0
0,15814,53,0
0,3739,113,0
0,20510,149,0
0,1853,130,0
0,26580,139,0
0,2405,58,0
0,6946,106,0
0,333,112,0
0,16540,97,0
0,8560,26,0
0,1564,122,0
0,22603,38,0
0,24598,113,0
0,4320,46,0
0,7281,18,0
0,31903,191,0
0,32098,46,0
0,22889,82,0
0,9172,109,0
0,31936,54,0
0,3686,131,0
0,30052,90,0
0,22793,131,0
0,24301,64,0
0,2745,40,0
0,7970,52,0
0,27119,183,0
0,17182,79,0
0,21951,100,0
0,8832,21,0
0,20669,180,0
0,24890,38,0
0,5142,54,0
0,27835,90,0
0,29836,72,0
0,14218,120,0
0,28721,152,0
0,20102,118,0
0,13078,169,0
0,32110,191,0
0,4675,59,0
0,9306,153,0
0,14269,195,0
0,11854,73,0
0,20319,180,0
0,22798,56,0
0,17359,172,0
0,16596,128,0
0,21469,74,0
0,30375,209,0
0,19464,48,0
0,24152,69,0
0,19711,97,0
0,14705,133,0
0,3928,144,0
0,11932,143,0
0,21973,131,0
0,22863,175,0
0,2791,66,0
0,3002,48,0
0,11101,68,0
0,32079,98,0
0,28503,51,0
0,12890,24,0
0,27631,64,0
0,3457,43,0
0,31561,178,0
0,16936,35,0
0,26072,51,0
0,22282,69,0
0,24354,64,0
0,8838,78,0
0,14662,45,0
0,13940,182,0
0,3599,69,0
0,8061,96,0
0,20836,43,0
0,15432,58,0
0,8262,127,0
0,21242,56,0
0,30917,147,0
0,32735,191,0
0,10895,99,1
0,11831,174,0
0,3334,30,0
0,5237,147,0
0,12035,187,0
0,14199,58,0
0,5551,67,0
0,21631,154,0
0,2836,35,0
0,20470,118,1
0,16987,110,0
0,30526,178,0
0,1742,179,0
0,5664,36,0
0,5145,59,0
0,9365,60,0
0,26973,77,0
0,14337,76,0
0,13841,107,0
0,31512,28,0
0,14030,182,0
0,18941,154,0
0,18795,154,0
0,15461,146,0
0,31514,28,0
0,30145,90,0
0,10348,148,0
0,5047,134,0
0,18016,48,1
0,5497,98,0
0,25826,25,1
0,10936,42,0
0,15986,84,0
0,3907,38,0
0,1475,140,0
0,151,15,0
0,27027,38,0
0,1252,132,0
0,18449,110,0
0,14171,151,0
0,5759,111,0
0,11195,68,0
0,26368,95,0
0,19319,167,0
0,1452,47,0
0,24819,95,0
0,12123,81,0
0,27038,64,0
0,14288,76,0
0,19964,74,0
0,25124,64,0
0,22232,162,0
0,1443,47,1
0,12603,63,0
0,10875,117,0
0,7894,189,0
0,25830,170,0
0,7936,114,0
0,10944,130,0
0,31874,54,0
0,32420,72,0
0,20153,92,0
0,25852,170,0
0,12507,112,0
0,31416,85,0
0,18534,110,0
0,637,56,0
0,15360,27,0
0,9359,47,0
0,1613,21,0
0,16065,45,0
0,11402,29,0
0,19759,97,0
0,24303,188,0
0,31126,85,0
0,31007,134,0
0,3704,131,0
0,19258,74,0
0,13438,138,0
0,6213,124,0
0,21418,74,0
0,23808,25,0
0,32600,160,0
0,19059,105,0
0,19240,61,0
0,31144,103,0
0,6205,155,0
0,19054,198,0
0,9596,73,0
0,11556,143,0
0,17065,172,0
0,22483,100,0
0,17818,141,0
0,10531,42,0
0,6619,137,0
0,20463,136,0
0,18025,66,0
0,17543,79,0
0,25214,157,0
0,18647,61,0
0,31103,147,0
0,3865,144,0
0,8072,114,0
0,25269,126,0
0,17196,66,0
0,19835,48,0
0,28259,103,0
0,17249,141,0
0,30651,33,0
0,29023,183,0
0,28235,59,0
0,28721,152,1
0,7668,57,0
0,25079,139,0
0,14071,107,0
0,31249,103,0
0,15078,115,0
0,10412,104,0
0,8827,122,0
0,12246,187,0
0,2787,35,0
0,22035,162,0
0,28269,59,0
0,19151,198,0
0,19403,74,0
0,13085,138,0
0,30790,54,0
0,18845,61,0
0,31886,147,0
0,4750,165,0
0,6412,62,0
0,27973,108,0
0,13804,58,0
0,22192,69,0
0,25646,51,0
0,3204,61,0
0,127,46,0
0,32584,98,0
0,19888,74,0
0,12643,156,0
0,19452,92,1
0,21449,56,0
0,31623,191,1
0,13578,37,0
0,27574,59,0
0,32200,72,0
0,17991,141,0
0,19929,105,0
0,15459,146,0
0,10160,34,0
0,11515,112,0
0,17333,141,0
0,22307,43,0
0,29623,165,1
0,16468,128,0
0,16032,115,0
0,30142,90,0
0,24336,113,0
0,18695,185,0
0,25485,33,0
0,27693,90,0
0,25954,51,0
0,11632,50,0
0,13170,138,0
0,23389,144,0
0,30842,54,0
0,23163,113,0
0,24734,157,0
0,303,42,0
0,8253,39,0
0,13252,94,0
0,3661,131,0
0,18883,105,0
0,22240,131,0
0,20221,87,0
0,11898,99,0
0,1526,153,0
0,30043,134,0
0,32401,67,0
0,29172,165,0
0,27433,152,0
0,17434,48,0
0,28550,51,0
0,32436,160,0
0,16453,40,0
0,1014,36,0
0,24232,113,0
0,24686,263,0
0,23547,56,0
0,869,28,0
0,10468,86,0
0,26470,46,0
0,22609,87,0
0,5101,85,0
0,15090,71,0
0,27013,77,0
0,8026,44,0
0,29663,240,0
0,9271,91,0
0,6572,75,0
0,13636,138,0
0,65,27,0
0,20713,118,1
0,26952,183,0
0,25497,82,1
0,17164,79,0
0,12148,63,0
0,10279,148,0
0,10686,47,0
0,12696,81,0
0,17692,79,0
0,22154,69,0
0,5824,98,0
0,12116,112,0
0,30180,72,0
0,23931,175,0
0,28751,134,0
0,10426,104,0
0,943,36,0
0,8544,26,0
0,19211,79,0
0,23170,51,0
0,2214,138,0
0,8913,47,0
0,30719,240,0
0,6422,124,0
0,28889,72,0
0,8615,78,1
